id,title,domain,severity,effort,files,evidence,recommendation,cve
"CICD-01","Required-check workflows do not emit on merge_group","cicd","High","S",".github/workflows/ci.yml;.github/workflows/security-analysis.yml;.github/workflows/reuse.yml;.github/workflows/pr-validation.yml;renovate.json","renovate.json:63-66 enables automerge; ci.yml:68, security-analysis.yml:58, reuse.yml:30, pr-validation.yml:199 trigger only on pull_request/push; git-workflow.md CI-040 requires merge_group","Add a merge_group trigger to the on: block of all four required-check workflows before enabling the merge queue.",""
"DOC-01","README Quick Start omits submodule init and setup.sh","docs","High","S","README.md","README.md:80-92 Quick Start omits --recurse-submodules and ./setup.sh; correct sequence only at README.md:283-284 and docs/getting-started/install.md:29-48; checkout shows 14 dangling .claude/agents/ symlinks","Add --recurse-submodules (or submodule update --init) and ./setup.sh to the Quick Start block.",""
"ARCH-02","The gh API client is re-implemented six-plus times","architecture","High","M","scripts/check-repo-compliance.py;scripts/check-required-checks.py;scripts/setup_org_rulesets.py;scripts/setup_repo_rulesets.py;scripts/sync_org_pins.py;scripts/populate-github-repos.py;scripts/check_quality_gate.py","gh client duplicated at check-repo-compliance.py:141/159, check-required-checks.py:629, setup_org_rulesets.py:171/209, setup_repo_rulesets.py:34/89, sync_org_pins.py:65, populate-github-repos.py:75; check_quality_gate.py:31-45 uses urllib instead","Extract one gh_api_common.py (mirroring compliance_log_common.py) and migrate every call site.",""
"ARCH-03","Skills spawn agents, violating the repo Command->Agent->Skill rule","architecture","High","M",".claude/skills/test-coverage/SKILL.md;.claude/skills/pr-review/workflows/pr-review.md;.claude/rules/supervisor.md","supervisor.md:131 and ADR-004 state skills do not invoke agents; test-coverage/SKILL.md:54 and pr-review/workflows/pr-review.md:691 both spawn subagents","Refactor the two skills to output-only, or amend ADR-004 and supervisor.md so the rule and code agree.",""
"CQ-01","Coverage gate measures only src/, leaving ~7700 LOC of scripts ungated","code-quality","High","M","pyproject.toml","pyproject.toml:484 source=[src], :494 omits scripts/*; src/ is 132 LOC vs scripts/ 6490 LOC; --cov-fail-under=80 certifies only 132 lines","Add scripts/ and tools/ to coverage source, re-baseline, and enforce the 80% gate on the existing script tests.",""
"CICD-02","No merge-queue rule declared despite automerge config","cicd","High","M","docs/reference/repo-rulesets/;scripts/setup_repo_rulesets.py;renovate.json","No merge_queue rule in any ruleset or setup_repo_rulesets.py; git-workflow.md CI-062 requires it once automerge is enabled","Add a merge_queue rule (SQUASH, max_entries_to_build 5, min_entries_to_merge 1, wait 5min) to the main-branch ruleset.",""
"DOC-02","83 root-absolute links in AGENTS-AND-SKILLS.md 404 on GitHub","docs","High","M","AGENTS-AND-SKILLS.md","AGENTS-AND-SKILLS.md uses 83 root-absolute links that 404 on GitHub and break in MkDocs; README and CLAUDE.md have 0","Rewrite the 83 links as repo-relative paths and add a link-check to CI.",""
"DOC-04","MkDocs strict build has 85-plus pages not in nav and not excluded","docs","High","M",".github/workflows/docs.yml;mkdocs.yml","docs.yml:57 runs mkdocs build --strict; ~85+ docs (docs/superpowers/ 44, docs/development/ 14, others) are neither in nav nor exclude_docs","Add orphaned pages to nav or exclude_docs; confirm current docs.yml run status first.",""
"ARCH-01","Inverted package boundary: real logic lives outside the only package","architecture","High","L","pyproject.toml;scripts/","pyproject.toml:137 packages=[src/claude_config] (132 LOC, imported by nothing); 6490 LOC in scripts/ unpackaged, reached via pyproject.toml:457 pythonpath + sys.path.insert in compliance_log_append.py:36, compliance_rollup_reconcile.py:26, compliance_log_render.py:19","Promote script logic into src/claude_config submodules with console-script entry points so it is importable, testable, and coverage-measurable.",""
"SEC-01","Committed HTML session reports expose personal filesystem data","security","Medium","S","session-report-20260521-2145.html;session-report-20260521-2204.html","Both files tracked in git; session-report-20260521-2204.html has 111 occurrences of /home/byron, the string byron@dadslaptop, and verbatim Claude session text; line 292 of the first embeds root: /home/byron/.claude/projects and 224 session records","git rm --cached session-report-*.html, add session-report-*.html to .gitignore, document the policy in SECURITY.md.",""
